Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
8ef8bba2-3ef8-4390-b640-70f8fe463a1e,Metax,GROV Mix Backmix2,500g,4.30   ,2.5,,"Мука. Содержит: Железо, Витамины группы B и фолиевую кислоту. Не содержит глютен."
24609145-73ae-40ab-818b-15e0acbbaf7f,Metax,Crêpes-Mixx,360g,9.90   ,0.6,,"Блинная смесь. Содержит Баластные в-ва, Витамины группы B и фолиевую кислоту"
46746049-aed0-4552-96ae-f5a6c9837102,Metax,MUFFIN-MIXX Zitrone,400g,9.00   ,0.17,,"Смесь для выпечки лимонных мафинов. Содержит Баластные в-ва, Витамины группы B и фолиевую кислоту"
5146a8a1-36dd-4102-ac01-0e10701d0b45,Metax,MUFFIN-MIXX Blaubeere,400g,9.60   ,0.24,,"Смесь для выпечки мафинов с черникой. Содержит Баластные в-ва, Витамины группы B и фолиевую кислоту"
6f510a20-6c8b-41d5-bc20-a76e422d9962,Metax,MUFFIN-MIXX Schoko,500g,9.60   ,0.6,,"Смесь для выпечки мафинов шоколадных. Содержит Баластные в-ва, Витамины группы B и фолиевую кислоту"
4b6ccd7c-0568-4162-a705-367265934be7,Metax,MUFFIN-MIXX Zimt,420g,9.00   ,0.8,,"Смесь для выпечки мафинов с корицей. Содержит Баластные в-ва, Витамины группы B и фолиевую кислоту"
b6b2f81b-f5d1-4e5c-bc18-bc41a4af5749,Metax,BALLASTOMAXX,750g,12.30   ,0.4,,Баластные вещества 
f9a2e36e-5db5-4953-8931-fec9928d4552,Metax,KUCHEN-FEIN (eiweißarmer Ei-Ersatz),200g,6.85   ,0.4,,Заменитель яйца
82dc2a1f-d569-4bcf-bfec-a2398502c9b7,Metax,Eiweissarmer Griess,300g,5.50   ,0.2,,Манка малобелковая
67b2b5d6-1a04-476e-821f-4be1ece1a91f,Metax,Eiweissarmer Griess Premium,450g,8.05   ,0.2,,Манка малобелковая класса Премиум
0ece0007-79b4-4850-a4c0-eb824d3245c8,Metax,"Reis, eiweißarm",500g,5.00   ,0.2,,Заменитель риса
ce3a8232-c021-4bac-9d49-5502996b4793,Metax,Spaghetti gedreht,500g,4.45   ,0.25,,Спагетти крученные
f7c44b42-5ddf-4874-9810-3dbdee9c3292,Metax,Muscheln,500g,5.25   ,0.2,,Макароны Ракушки
805d1229-e574-4e86-8649-54fd09fc26f2,Metax,Spirellis,500g,4.45   ,0.25,,Макароны Спиральки
8821c1cb-6f9b-42a7-84fe-562773a93044,Metax, Cous-Cous,500g,7.20   ,0.7,,Кус кус
2cac559d-957b-4840-8c84-8d70d8eb4dfd,Metax,Spaghetti plus premium,500g,5.40   ,0.5,,Спагетти класса премиум
c381bd67-77ff-4db7-a48f-c3861561c500,Metax,Penne plus premium,500g,4.60   ,0.5,,Перья класса премиум
6c312d5d-cac6-4884-88c9-26aa7992a65c,Metax,Fusilli plus premium,500g,4.60   ,0.5,,Макароны спиральки класса премиум
e6b2d063-6155-4191-b574-a15b140b65ec,Metax,Risi d'oro,500g,4.60   ,0.2,,Заменитель риса класса препиум
7f52eaa0-1d06-4698-8ff4-bba4eb3dcc18,Metax,X-POT Asia,60g,4.90   ,0.4,,"Макароны быстрого приготовления, залил и готово! Со вкусом курицы, в кисло-сладком соусе"
3f8bea9b-6c54-4824-99e6-a2103f884375,Metax,X-POT Italia,60g,4.90   ,0.24,,"Макароны быстрого приготовления, залил и готово! Со вкусом говядины и помидорами"
73479d32-590b-4cac-86c8-c56249953399,Metax,CHEASY mild,200g,8.75   ,4.4,,"Сыр ""мягкий"""
c69303fc-187e-4187-a9ad-d30c186a84ae,Metax,CHEASY kreuter,200g,9.50   ,4.0,,"Сыр ""мягкий с травками"""
80cf4f86-e909-48a1-a22b-5f277ec6ef7c,Metax,Harifen PKU-Milch,4800ml,40.25   ,0.3,,Молоко харифен 24 пачек*200 мл 
91377805-ebea-4470-a2d7-3d3564f264dc,Metax,Harifen PKU-Milch,200ml,1.90   ,0.3,,Молоко харифен
e6e1925b-3b91-4f1f-b2bc-172aaccc2d6b,Metax,SCHOKOMAXX,500g,15.90   ,2.3,,Какао
162ebe77-ddd4-4ce3-858d-9749384e54d8,Metax,JoguMaxx,400g,19.20   ,0.5,,Заменитель Йогурта
f733257a-debb-44b2-a349-03f13e11da8f,Metax,Schoxxi Taffel,100g,4.10   ,1.5,,Шоколадная плитка 
dd6fa04a-6f83-43fd-ac88-10f448c96dd3,Metax,Schoxxi Mini-Tafel ,60g,2.60   ,1.4,,Шоколадная маленькая плитка 
be1e9ec1-74ad-4b16-a291-a4da129e184a,Metax,Schoxxi Mini-Tafel Knister,60g,2.60   ,1.5,,Шоколадная маленькая плитка с потрескивающимся сахаром 
9b3bee36-7eca-4f85-8235-3543be60a72c,Metax,Schoxxi Weihnachtsmann,80g,6.50   ,1.5,,Шоколадные фигурки Дедмороз (сезонный продукт)
fb1e4bd9-ba8e-40b5-beac-b48d0b103ba5,Metax,Schoxxi Mini-Tafel Wintertraum,60g,2.60   ,1.5,,"Шоколадная плитка ""Новогодняя мечта"" с корицей, гвоздикой, анисом."
dfb015a7-8f32-4eea-88e8-26b011684fef,Metax,Schoxxi Weihnachts-Minis,100g,4.60   ,1.5,,Шоколадные мини фигурки с новогодней тематикой
d9f258da-f512-4577-b82f-d7d9daa72040,Metax,Adventskalender ,222g,15.30   ,1.5,,Рождественский шоколадный календарь (сезонный продукт)
7e5f4f76-cdcb-4ad2-897e-2ab0d12bd260,Metax,Salzstangen,70g,3.30   ,0.7,,Соленые палочки
e08baf9d-9d63-4c22-987e-08d5f41f898c,Metax,Zitronenwaffel,100g,4.05   ,"<0,5",,Лимонные вафли 
acd84a8b-2101-4b3d-bdfe-f730901601c6,Metax,mini-Grissini Natur,120g,4.35   ,0.4,,"Гриссини/ Хлебные палочки, Натуральный вкус"
2eb2970d-272b-48ae-8ea6-741bb0c46dfe,Metax,mini-Grissini Oregano,120g,4.35   ,0.4,,Гриссини/ Хлебные палочки с Орегано 
8df7d64c-e9ee-47c9-9612-adbb8ef7ce14,Metax,mini-Grissini Rosmarin,120g,4.35   ,0.4,,Гриссини/ Хлебные палочки с Розмарином
7a393688-d15b-48b3-add8-32be0c43f5d9,Metax,Waffelbrot,100g,3.95   ,"<0,5",,"Вафельные листы, подходят для бутербродов и приготовления тортов,  без глютена"
debe22d4-6e9e-4116-8d92-52bea38b2d76,Metax,Crunchy Pops Honig,250g,5.70   ,0.4,,Хлопья медовые в виде шариков для завтрака
e7b53c70-0fd6-4bb2-a5eb-3c3f0335db25,Metax,Crunchy Pops Schoko,250g,5.70   ,0.4,,Хлопья шоколадные в виде шариков для завтрака
c1ab3d72-3d0b-4d61-8f91-c549380c3251,PROMIN,"PROMIN, bunte Buchstaben",500g,6.00   ,0.15,,Макароны цветные  буковки
8afd3eff-981a-4f31-9c2d-9e0ec270823c,PROMIN,"PROMIN, bunte Muschel",500g,6.00   ,0.15,,Макароны цветные  ракушки
70e123cd-1e93-4b4f-a711-be1cc41957cd,PROMIN,"PROMIN, bunte Spiralnudel",500g,6.00   ,0.15,,Макароны цветные  спиральки
afded13e-f868-4b00-b65b-eb2d4f187792,PROMIN,"PROMIN, Cous-Cous",500g,6.60   ,0.15,,Кус кус
ef8ffac9-aba4-4730-bd8c-298b1907e94b,PROMIN,"PROMIN, Pasta Spagetti",500g,5.00   ,0.15,,Вермишель суповая
08cb4156-14ba-45c3-a2a1-9900e514b64c,PROMIN,"PROMIN, Pasta Spagetti Plus",500g,5.00   ,0.13,,Вермишель суповая с балластными веществами
