Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
698d3ee3-fad9-4cce-9d13-45767c02c77a,Выпечка,Consenza Crispy Choko Wafers,65g,3.70   ,2.8,0.6,Вафли шоколаные облитые шоколадом а-ля Kitkat
e8014639-f02e-4741-b8e3-7f4d15cb88c0,Выпечка,Consenza Mais Tortilla ,180g,3.90   ,4.5,0.7,Тортилья
a9232d0f-0d38-47a0-bd49-0562d223c9a4,Выпечка,Panito Panino per Burger,125g,5.50   ,3.0,1.9,"Булочки с кунжутом для бургеров 2* 62,5 гр"
b43dbf3b-1401-4394-b498-372296dd8c21,Выпечка,Bio Kakao Muffins,125g,4.40   ,3.2,,"Маффины шоколадные, без глютена и лактозы"
8bf7bb90-516d-43e7-9b9d-1b0088359e03,Выпечка,MGB Marmorgebäck,160g,5.20   ,2.0,,"Песочное печенье Зебра, без глютена"
12252aa0-7880-4ef1-85a3-2f4c7a1de5cc,Выпечка,Frühstücks Kuchen,300g,3.50   ,2.0,,"Пирог пряничного вкуса, бывает на Рождество"
1a54a07a-f5e3-42ba-8df8-99561862ef2b,Piaceri Mediterranei,Crostatine Törtchen mit Aprikosenfüllung,200g,6.60   ,3.1,,"Тарталетки/корзиночки с абрикосом, без глютена, 4 шт *50 гр"
53a83dcf-e77f-4dc8-884b-0c2182fc3b67,Piaceri Mediterranei,Schiacciatalla Classica,100g,4.80   ,0.9,,"Воздушные мини хлебцы/сухарики, без глютена"
dcaa6de0-a636-4195-836b-6bc3893f3853,Piaceri Mediterranei,Schiacciatalla Gusto Pizza,100g,4.80   ,1.1,,"Воздушные мини хлебцы/сухарики со вкусом пиццы, без глютена"
7841a0fb-6798-4cda-8b7a-60712b5acdec,Piaceri Mediterranei,Dobloni Dark & White,120g,4.40   ,3.2,,Печенье двойное с шоколадной начинкой
f13ef85c-24fb-44d6-9274-ed9794922a87,Piaceri Mediterranei,Wafer Wanilla ,175g,4.40   ,3.2,,Ванильные вафли
0de78cbe-9168-4be9-96ad-9bba58751d4c,POENSGEN,Poensgen Butterkekse,100g,3.50   ,1.7,,"Сливочное печенье,  без глютена "
55100e38-d5fc-4d71-9a9f-8d26c38ac3f9,POENSGEN,Poensgen Schokokekse,150g,4.55   ,3.9,,"Шоколадное печенье,  без глютена "
ed4fede8-caa5-4445-93ae-0dcf731ce1e6,POENSGEN,Poensgen Butterspekulatius,150g,3.90   ,1.7,,"Сливочное печенье рождественское,  без глютена "
52272395-b502-430b-89c2-4ddd737d6a17,POENSGEN,Poensgen Lebkuchenherzen Vollmilchsch,175g,4.30   ,3.5,," Рождественский пряник в молочном шоколаде, без глютена"
1a430a1a-db73-49a6-9794-3b40b81ff5ad,POENSGEN,Poensgen Lebkuchenherzen Zartbitter,175g,4.30   ,3.0,," Рождественский пряник в темном шоколаде, без глютена"
1e1f0fb4-cea1-41af-829a-e3e4fa4312cb,POENSGEN,Poensgen Printen,150g,3.90   ,2.0,,"Разновидность рождественского пряника, без глютена"
5d461b61-84be-46e6-b5aa-dd51121cb3b0,POENSGEN,Poensgen Schokoprinten,175g,4.30   ,3.1,,"Разновидность рождественского пряника в шоколаде, без глютена"
73d3f75f-dcdd-4924-8fee-810897931851,POENSGEN,Poensgen Mini-Stollen,220g,5.20   ,3.5,,"Разновидность рождественской выпечки, без глютена"
9e1090d3-2a20-4cb3-988d-d52c9f0bcaab,POENSGEN,Poensgen Haltbares Landbrot,400g,4.80   ,0.7,,"Хлеб "" Деревенский"" в нарезке, без глютена"
65065f33-d684-434a-9e75-73a5f3551bdf,POENSGEN,Poensgen Bauernbrot,400g,5.10   ,3.6,,"Хлеб ""Крестьянский"" в нарезке, без глютена"
9b80877b-47d8-4841-a8c6-cfe78747a8ac,POENSGEN,Poensgen Toastbrot,400g,4.95   ,2.8,,"Хлеб ""Для тостов"" в нарезке, без глютена"
dd0ee3d9-ff3a-4c6e-b76d-3a37bab203f3,POENSGEN,Poensgen Rosinenbrot,400g,5.50   ,3.5,,"Хлеб сладкий ""с изюмом"" в нарезке, без глютена"
6e047db9-2865-4f2e-bf3a-7bdc2747d714,POENSGEN,Poensgen Classic,500g,3.20   ,1.1,,"Мука Классическая, Серебрянная медаль 2010 г"
a0d8a82b-9674-468f-bf3c-b2f639b3b103,POENSGEN,Poensgen Paniermehl,400g,4.50   ,0.7,,"Панировочные сухари, без глютена"
6fe1e6cb-577c-41f0-bd0d-e6793094d83f,POENSGEN,Poensgen Waffeln,100g,2.60   ,3.6,,"Вафли венские, без глютена"
45eeede8-ff56-49e4-bf03-76a6d3e7a65d,POENSGEN,Poensgen Rosinen-Brötchen,100g,2.90   ,2.9,,"Булочки с изюмом, без глютена"
33d6ce87-3485-4cd9-9a76-573a068803ef,POENSGEN,Poensgen Laugen-Stangen,100g,3.25   ,2.8,,"Булочки из теста для крендельков, без глютена"
e46b1d39-3777-4267-8e10-af9d2f58076d,POENSGEN,Poensgen Bauern-Brötchen,100g,2.90   ,3.7,,"Булочки Фермерские, без глютена"
b6b06f75-5df0-4984-813e-1a3112abb903,POENSGEN,Poensgen Keiser-Brötchen,100g,2.60   ,3.7,,"Булочки Царские, без глютена"
cb6761d8-402a-45a6-b7e2-fb4483d93869,POENSGEN,Poensgen Körner-Brötchen,100g,2.90   ,3.5,,"Булочки с семечками, без глютена"
30ddf7fa-f84b-4646-b748-9aea9c2e2c9b,POENSGEN,Poensgen Marmorkuchen,350g,6.50   ,3.3,,"Традиционный Мраморный пирог, без глютена"
fcff1af1-0672-4502-971a-eb3528684038,POENSGEN,Poensgen Zitrinenkuchen,350g,6.50   ,3.3,,"Традиционный Лимонный пирог, без глютена"
92f426f6-440f-4d2c-9d6a-ff99809f3836,Procelli     (Испания),Proceli Magdalenas,160g,4.20   ,2.9,1.2,"Кексы магдаленас, без глютена и лактозы"
1ae165ba-de13-460b-b2fd-a2d243b77e83,Procelli     (Испания),Proceli Schoko Magdalenas,160g,4.20   ,3.8,1.7,"Кексы шоколадные магдаленас, без глютена и лактозы"
8fa251be-e1b3-4c77-91a2-5a276deac744,Procelli     (Испания),Proceli Barquillos,90g,5.20   ,3.4,,"Вафельные трубочки в шоколаде, без глютена и лактозы"
94cc47b3-3199-4363-8165-9509e3dc8619,Procelli     (Испания),Proceli Croissant,200g,4.50   ,1.2,,"Круасонс, без глютена и лактозы"
dbe6c29e-3c2a-4f69-a88c-e26edab1d829,Procelli     (Испания),Proceli Schoko Croissant,230g,6.40   ,1.5,,"Круасонс с шоколадом, без глютена и лактозы"
428a7ba4-c802-4bb0-a1fa-42c63666c830,Procelli     (Испания),Proceli Pizza,250g,5.20   ,0.8,,"Коржи для пиццы, без глютена и лактозы"
f9ad2ad9-e0f9-4e2e-9c2d-d13a31a895f2,Procelli     (Испания),Proceli Classik Sandvich,280g,4.20   ,1.2,,Хлеб классический для сендвичей
5797d157-f981-4583-b235-4f68880de1ed,Procelli     (Испания),Proceli Mehrkorn Sandvich,280g,4.20   ,1.8,,"Хлеб мультизерновой для сендвичей, без глютена и лактозы"
35d6ec29-6fd1-4cb3-8f27-331fe5f1795f,Procelli     (Испания),Basic Mix Mehlmischung Procelli,1000g,5.20   ,1.1,,"Смесь муки для хлеба из Испании, без глютена и лактозы "
f8453a7b-e2a9-493c-a9c1-9cc276348747,NUTRI FREE     (Италия),Mix per Pane ,1000g,6.90   ,1.2,,"Смесь муки для хлеба из Тосканы, без глютена "
e5ce43eb-e358-40a7-9075-1c9fb89b8989,NUTRI FREE     (Италия),Mix per Dolci,1000g,6.80   ,0.9,,"Смесь муки для сладкой выпечки из Тосканы, без глютена и лактозы "
b4270839-e693-4b11-89c3-84c2b3c965cb,NUTRI FREE     (Италия),Mix per Pizza,1000g,6.80   ,2.1,,"Смесь муки для пиццы из Тосканы, без глютена и лактозы "
3b5744ea-bd7c-40ae-bbea-95ac2b7e9e3f,NUTRI FREE     (Италия),Panbauletto Bianko,300g,5.30   ,1.2,,"Белый хлеб в нарезке из кислого теста, без глютена "
2fb5a607-7c74-478f-aaa9-e04677c20891,NUTRI FREE     (Италия),Panbauletto Integrale,300g,5.30   ,2.2,,"Серый хлеб в нарезке из кислого теста, без глютена "
ced6f3eb-1b6b-4e60-ba2d-7de8e5d4b095,NUTRI FREE     (Италия),American Sandvich Nutri free,240g,4.60   ,1.1,,"Белый хлеб в нарезке для сендвичей, без глютена "
8dcc75a5-373e-4e48-a0c2-ab215787be8e,NUTRI FREE     (Италия),Base per Pizza,200g,4.55   ,1.5,,"Корж для пиццы, без глютена "
9cf694ad-8dd0-4039-8915-8f3d7ef82828,NUTRI FREE     (Италия),Piadina Wraps,120g,4.40   ,1.5,,"Лепешки для шаурмы, без глютена "
08f1b49b-5bce-4cff-996f-b74b2a131069,NUTRI FREE     (Италия),Panino Hot Dog,65g,3.50   ,2.2,,"Булочки для хот догов, без глютена "
c998ff71-27d0-4936-8b01-ef2ae47a0af1,NUTRI FREE     (Италия),Panino Hamburger XS,110g,3.75   ,2.2,,"Булочки для гамбургеров, размер XS, без глютена "
24224e52-af6b-4dee-b534-4932ff7178bb,NUTRI FREE     (Италия),Panino Hamburger XL,200g,5.20   ,2.2,,"Булочки для гамбургеров, размер XL, без глютена "
b11cd22a-914a-4383-b258-04526f35076b,NUTRI FREE     (Италия),Grissottii Rustici,100g,3.90   ,1.5,,"Хлебные палочки с солью, без глютена "
c70898b8-875e-406b-93a9-967881cf6921,NUTRI FREE     (Италия),Le Brioche Schoko,200g,5.90   ,2.2,,"Бриошь с кусочками шоколада, без глютена,  4 шт *50 гр "
276c88a8-c348-4975-9592-76243c430d94,NUTRI FREE     (Италия),Le Brioche Cacaofülung,200g,5.90   ,1.8,,"Бриошь с шоколадным кремом, без глютена,  4 шт *50 гр "
fad2faee-c486-4e58-8e7e-3abe64be9f15,NUTRI FREE     (Италия),Le Brioche mit Aprikosenfüllung,200g,5.90   ,1.4,,"Бриошь с абрикосовой начинкой, без глютена,  4 шт *50 гр"
87502ae6-8757-4dc0-9e2d-65880debb00c,NUTRI FREE     (Италия),Nutri free Croissants Classik,200g,7.80   ,2.8,,"Круасонс, без глютена, 4 шт *50 гр"
2385f3ab-31bb-4de7-93af-c42e1cd6ec7c,NUTRI FREE     (Италия),Nutri free Croissants mit Beerenfüllung,240g,6.30   ,2.2,,"Круасонс с ягодной начинкой, без глютена,  4 шт *60 гр "
65485c1d-0014-4fdd-926b-a1ea385f2feb,NUTRI FREE     (Италия),Nutri free Croissants mit Aprikosenfüllung,240g,6.30   ,2.2,,"Круасонс с абрикосовой начинкой, без глютена,  4 шт *60 гр "
6cb9bab8-b08f-4fe2-b15d-29ea23ce2571,NUTRI FREE     (Италия),Nutri free Croissants mit Pistazienfüllung,240g,7.40   ,2.7,,"Круасонс с фисташковой начинкой, без глютена,  4 шт *60 гр "
1a1344ec-6675-44bd-8d1a-715274384e68,NUTRI FREE     (Италия),Nutri free Croissants Schoko,240g,7.40   ,2.7,,"Круасонс с шоколадным кремом, без глютена,  4 шт *60 гр "
825acba5-15fc-4107-a17a-7bdb72bfd22e,NUTRI FREE     (Италия),Nutri free BuoniVeri,250g,5.20   ,1.0,0.1,"Печенье из цельнозерновой муки, без глютена"
deec138f-70e3-44dd-a74d-8a531c828216,NUTRI FREE     (Италия),Pandoro Bonta Classico,600g,14.00   ,2.1,,"Рождественский пирог, без глютена"
638c98ee-c117-4005-b03d-9ee1f08037a7,NUTRI FREE     (Италия),Pandoro Bonta Cioccolato,600g,14.30   ,2.5,,"Рождественский пирог с кусочками шоколада, без глютена"
2fc3dbcc-7997-4b00-8401-0b30694d3905,NUTRI FREE     (Италия),Panettoncino cioccolato,100g,4.10   ,3.6,,"Рождественский пирог с кусочками шоколада, без глютена"
2733b488-d58b-4b9b-ac31-ed36eadc1e6b,NUTRI FREE     (Италия),Nutri free Fette Biscottate,225g,5.10   ,2.7,0.3,"Хлебцы из белого хлеба, без глютена"
16f50c9f-b4bb-4dd7-a43d-455109a2e559,NUTRI FREE     (Италия),Nutri free Fette Biscottate Integrali,225g,5.10   ,3.0,0.4,"Хлебцы из цельнозерновой муки, без глютена"
4cb2d9e3-fba4-4809-9af3-c3443a4eb69a,NUTRI FREE     (Италия),Nutri free Snack Pizza,100g,4.90   ,1.1,,"Воздушные мини хлебцы/сухарики, со вкусом пиццы, с сушеными помидорами и тд, без глютена"
2f7caaec-721d-4287-b344-4a8d87e42896,NUTRI FREE     (Италия),Nutri free Snack Paprika Peperonchino,100g,4.90   ,1.1,,"Воздушные мини хлебцы/сухарики, со вкусом паприки и чили, с небольшой остротой, без глютена"
5b709ab4-5cc7-4521-8215-e242383556dc,NUTRI FREE     (Италия),Nutri free Snack Rosmarino,100g,4.90   ,1.1,,"Воздушные мини хлебцы/сухарики, с ноткой розмарина, без глютена"
ebc379b0-f222-4d5d-b738-85a77a62e817,NUTRI FREE     (Италия),Nutri free ILTarallo,100g,6.30   ,3.8,1.2,"Сушки, без глютена"
1da61970-d495-4ef2-aa26-3172641f99ca,MaTatie (Франция),Bio Madeleines Natur Matatie,135g,5.50   ,2.7,0.7,"Мадленки натураньные, био, без глютена"
9b009b6f-f649-407a-a6f9-e6bf05b4d57d,MaTatie (Франция),Bio Madeleines Citron Matatie,135g,5.50   ,2.7,0.7,"Мадленки лимонные, био, без глютена"
c41d43a3-e48b-4ea7-a1f5-06ae220478da,MaTatie (Франция),Bio Madeleines mit Schokostückchen Matatie,135g,5.90   ,3.1,0.8,"Мадленки с кусочками шоколада, био, без глютена"
db8584b1-6289-44b8-b402-8d07e2a4e4a5,MaTatie (Франция),Bio Cookies mit Schokostückchen Matatie,160g,6.10   ,3.1,0.6,"Печенья с кусочками шоколада, био, без глютена"
478303d9-2ae6-4877-b508-a835e3c6118d,MaTatie (Франция),Bio Brownies Matatie,155g,5.90   ,2.9,0.9,"Браунис, био, без глютена"
92ee1af0-4d23-41e8-814a-8081bed128f5,LEIBNITZ,Leibnitz Zoo,100g,3.20   ,2.7,,"Печенье в виде зверушек, без глютена и лактозы"
55d99dba-5b17-43e6-8675-48f166d6daec,LEIBNITZ,Leibnitz Butterkeks,100g,3.20   ,2.5,,"Печенье сливочное, без глютена и лактозы"
6b267adb-e2dd-4855-b7cb-fc71c4b71e99,LEIBNITZ,Leibnitz Minis,100g,3.20   ,2.5,,"Печенье мини, без глютена и лактозы"
9dbf0d82-60d7-42a6-a595-b9354b420a21,3 PAULY,3 Pauly Vanillegebäck,125g,3.70   ,2.9,,"Печенье ванильное,  без глютена и лактозы"
047b41b2-bbbb-4fda-b78f-6f2c06418941,4 PAULY,3 Pauly Torteletts,150g,3.90   ,3.0,,"Тарталетки,  без глютена и лактозы"
26e91c53-ff1a-42fa-b404-c6d3c9bff4a6,5 PAULY,3 Pauly Cremeo Kakaokekse,120g,3.60   ,2.3,,Печенье двойное шоколадное с начинкой
cf48e93d-5923-4069-a901-e0c62537e650,Richter,Richter Sesamspitz,225g,4.90   ,3.5,,"Рогалики с кунжутом, без глютена"
cc98cf1d-ca48-45aa-9d7a-c9e02f42afda,Richter,Richter Landbrötchen,300g,5.20   ,2.9,,"Булочки Деревенские, без глютена"
afa87c1d-a650-4209-a989-cdeb96941523,Richter,Richter Krustenbrötchen,260g,4.80   ,2.9,,"Булочки Хрустящие, без глютена"
7230c7b2-3828-4e3a-95cf-4c2452297c91,Richter,Richter Mini Baguette,351g,4.80   ,2.7,,"Мини багеты, без глютена"
f78fd2b0-e990-4099-8ec3-eb36bee8e33a,Richter,Richter Kaisersemmel,402g,5.60   ,2.7,,"Булочки Царские, без глютена"
04ee29f7-b264-46b0-b75d-7ff20a5b27e3,Richter,Richter Ciabatta,280g,4.50   ,2.7,,"Булочки Чиабатта, без глютена"
4dda58f6-25fd-4bce-b660-1f4fba76a98c,Richter,Richter Schnittbrötchen,270g,5.60   ,2.7,,"Булочки Классические, без глютена"
a0fac89f-0872-41de-9fd8-59cc86266901,Richter,Richter Apfelstrudel,320g,7.80   ,1.8,,"Яблочный штрудель, без глютена"
3e089095-a097-496e-aeac-988492305f80,Шоколад,Reismilchschokolade,100g,3.50   ,2.1,,Шоколадная плитка
3021dada-0438-4b63-9e98-c19793a7e1eb,Шоколад,Reismilchschokolade Kaffee,100g,3.50   ,1.9,,Шоколадная плитка с молотым кофе
45725482-9d17-4c38-b156-973c84ee355c,Шоколад,Reismilchschokolade Reis Crisps,100g,3.50   ,1.8,,Шоколадная плитка с воздушным рисом
0723d36c-b520-4bdf-ac24-bfb1bf1ff06b,Шоколад,Reismilchschokolade Rosinen Haselnusse,100g,3.50   ,2.8,,Шоколадная плитка с изюмом и орехами
e89cd633-8adc-4473-ae60-c7c9f3203bcd,Шоколад,Reismilch Tafel Weiß,100g,3.50   ,0.0,,Плитка белого шоколада
37b06ce4-51dd-4c18-904b-367f1170f996,Шоколад,Reismilchschokolade Herzen,100g,5.20   ,2.1,,"Шоколадные фигурки ""Сердечки"""
8436469b-9473-4076-9e7e-84b6390ebf65,Шоколад,Reismilchschokolade Figuren,100g,5.20   ,2.1,,Шоколадные фигурки 
c0460d82-0b8d-4a36-8880-e414e510a9b0,Шоколад,Lollypop,40g,4.00   ,2.0,,Шоколад на палочке 2 шт
598d0232-cdbb-4863-a428-a029aa0fad7f,Шоколад,Kakaosticks,80g,5.00   ,2.9,,Шоколад для приготовления какао на палочке 2 шт
2c4febb9-991d-4e66-accb-5a1384053a9c,Шоколад,Reisdrink Coconut,35g,1.90   ,1.8,,Шоколадный батончик с кокосом
22acdc67-7690-46fb-a646-ecd1fc28dc2c,Шоколад,Reismilch Pistachio,35g,1.90   ,2.1,,Шоколадный батончик с фисташками
c4ecf4c6-45da-4322-93fe-942444663986,Шоколад,Reismilchschokolade couv.,600g,12.00   ,2.1,,Шоколадные медальки
011e9c3c-e69c-466a-86fc-897dd63641a9,Шоколад,Rapunzel Rice Choco,100g,3.00   ,2.5,,Шоколадная плитка фирмы Rapunzel
95755f18-96fd-4c80-b19c-abaf39ad6ccf,Шоколад,Naturata Special bio,100g,3.80   ,2.0,,Шоколадная плитка фирмы Naturata био
005084e4-940b-4431-b673-4ca2ec269e84,Шоколад,iChoc Choko Cookie,80g,3.00   ,3.0,,Шоколадная плитка с шоколадным печеньем
dacd4717-6742-44af-8656-7a43b4463375,Шоколад,iChoc White Barista Art,80g,3.00   ,0.6,,Шоколадная плитка белая со вкусом кофе
3c23ea63-204f-44ab-a8ae-a1c6af43c21e,Шоколад,iChoc White Vanilla,80g,3.00   ,0.5,,Шоколадная плитка белая со вкусом ванили
25e2e370-7f47-4c23-8df8-cafd4ee86824,Шоколад,Veganz weisse Erdbeer-Crisp,80g,2.80   ,0.6,,Шоколадная плитка белая с клубники и хлопьями
290908e7-5570-49d1-84d8-118daa7ab812,Шоколад,Veganz weisse Kokos-Flakes,80g,2.80   ,0.7,,Шоколадная плитка белая с кокосом и хлопьями
b1bfcca1-e65d-4406-9bb8-28184c107895,Шоколад,Cocoa Bites Smooth Orange,108g,5.80   ,2.8,,Шоколадные мини батончики с ноткой апельсина
4f5febe9-5341-4229-b3e8-b38538229fa9,Шоколад,Cocoa Bites White,108g,5.80   ,0.6,,Мини батончики белого шоколада
2f30d61d-16cd-4ba3-a70f-9bf05354c707,Шоколад,Cocoa Bites Strawberry,108g,5.80   ,0.6,,Мини батончики белого шоколада с клубничной начинкой
4537e38c-967d-4d39-b8f1-09169c1cd7d3,Шоколад,After Eight Minzschokolade,200g,3.50   ,2.1,,Ментоловый шоколад
ff00e068-0a94-418a-9a51-a38042a80422,Шоколад,Curly Wurly ,21g,0.60   ,3.0,,Шоколад с карамелью
d81853bd-622d-44c0-8d7b-a2bd48863808,Шоколад,Daim ,56g,1.30   ,3.0,,Шоколад с карамелью
370d9f46-ca8e-4ce7-a7c5-d8e802cde7ec,Шоколад,Daim Latte,56g,1.30   ,2.9,,Шоколад с карамелью и с ноткой Латте
0a0c9129-a95b-4884-9114-65d8cc9dc34c,Шоколад,Daim Orange,56g,1.55   ,2.9,,Шоколад с карамелью и с ноткой апельсина
75fc2d61-b0ce-4b90-aa8b-8f8291ad7acd,Шоколад,Fudge,22g,0.90   ,2.3,0.5,Шоколад с карамельной прослойкой
e514bda0-007c-469b-962b-58a3fecedcc3,Шоколад,Chomp ,21g,0.90   ,2.8,0.6,"Батончик шоколадный,  а-ля Milky Way"
d22a1a34-b348-44a1-ace0-9c7f0ea96c8b,Шоколад,Crunchie,40g,1.95   ,3.1,1.2,Батончик шоколадный с хрустящим карамелизированным бизе 
15ebcb0b-f3ff-42d6-8721-a5112c5ce783,Шоколад,Wispa ,67g,2.60   ,1.5,,Батончик пористого молочного шоколада с жидкой карамельной начинкой 
8d014e0e-ad00-4625-aa49-890e37590134,Шоколад,Vantastic Monsters,125g,3.90   ,1.4,,"Шоколадное драже, по типу M&M"
50f7153a-779f-4a29-bd78-056e99ee64d0,Шоколад,Schokobons,180g,3.30   ,2.2,,"Шоколадые шарики, молочный шоколад "
8ecf3b49-4c29-44bf-97be-18c34c2a20d3,Шоколад,Böhme Orangen Creme-Schokolade,100g,1.50   ,2.2,,Шоколадная плитка с апельсиновой начинкой
d5ba3042-6083-48bc-b15c-fb4595da47a2,Шоколад,Böhme Himbeer Creme-Schokolade,100g,1.50   ,2.2,,Шоколадная плитка с малиновой начинкой
15fd9511-6cfb-4527-a1fd-a8c7ea700db1,Шоколад,Böhme Erdbeer Creme-Schokolade,100g,1.50   ,2.2,,Шоколадная плитка с клубничной начинкой
e4f0ae2a-706f-4a84-9544-52af6a8085d7,Шоколад,Schokoladen Kränze,200g,2.40   ,3.0,,"Рождественские веночки, шоколад в посыпке"
b16fb95d-cb4d-4d1a-9f32-d4a9ab111a4f,Шоколад,Schokoladenplätzchen,200g,2.40   ,3.0,,"Рождественские капельки, шоколад в посыпке"
12d7e518-5159-4adf-bdae-cc6a5c857b04,Шоколад,Fondant,175g,3.30   ,0.7,,"Рождественские фигурки, помадка в шоколаде"
9878fe49-f225-4254-aa6d-ac3375b52f68,Шоколад,Choko- Mint,200g,2.20   ,2.4,,Шоколадное драже в ментоловой оболочке
57b06854-13c5-4e34-bd17-66c51cadc955,Шоколад,Domino,200g,2.20   ,3.0,,Пряничные конфеты в шоколаде
4222069a-286a-41ca-8d24-b6486b6b5279,Шоколад,Domino,125g,1.80   ,3.0,,Пряничные конфеты в шоколаде
7c04f1dc-6039-465d-84c8-86fa0ef76dd9,Шоколад,Schogetten Vanille Erdbeer,125g,4.60   ,2.4,,"Шоколадные мини батончики с начинкой ""ваниль клубника"""
173d4bf3-74ef-4444-b2ef-f3b9824c71c6,Шоколад,Schogetten Salz Karamell,125g,4.60   ,2.7,,"Шоколадные мини батончики с начинкой ""карамель с солью"""
ce2f14c6-8f0d-4588-8b4f-7b63b5454af8,Шоколад,Schogetten Cocoa Cookie,125g,4.60   ,3.0,,"Шоколадные мини батончики с начинкой ""шоколад с печеньем"""
cd9f7dd5-28bc-4fc6-859a-e64e84c5153f,Шоколад,Schogetten Adwentskalender,300g,13.00   ,2.7,,Рождественский шоколадный календарь с мини батончиками разной начинки  (сезонный артикль)
e6445c98-45e6-4a64-b3f5-02a588521b65,Шоколад,Moo Free Oskar The Bear,80g,6.50   ,2.0,,"Рождественский шоколадный мишка (сезонный артикль), без глютена"
5db936f0-30f4-463d-acf4-be61a352199b,Шоколад,Moo Free Weihnachtskalender,70g,6.50   ,2.2,,Рождественский шоколадный календарь (сезонный артикль)
dfab9a5d-722f-451e-bd13-46c029d26b9d,Шоколад,Moo Free Weihnachtskalender weiss ,70g,6.50   ,1.7,,Рождественский шоколадный календарь с белым шоколадом (сезонный артикль)
4c2c5df5-52be-419c-a5b7-8918de913c00,Шоколад,Moo Free Selection Box,80g,5.80   ,2.2,,Рождественский шоколадный набор фигурок  (сезонный артикль)
a35fcf08-2749-4581-b6fc-ed58401dc239,Шоколад,Moo Free Weihnachtsmann,32g,2.20   ,2.2,,Рождественский шоколадная фигурка деда мороза  (сезонный артикль)
5864305d-6855-4248-940f-f05850885c32,Шоколад,Bio Christmas Tree Himbeer Kokos,90g,5.00   ,2.3,,"Рождественская шоколадная елка с малиной и кокосом   (сезонный артикль), без лактозы"
22c6de1a-5a43-4527-8b9e-f60dbb02d267,Шоколад,Bio Weihnachtsbaum Confetti,90g,5.00   ,2.3,,"Рождественская шоколадная елка с драже   (сезонный артикль), без лактозы"
3cc0bb67-1551-4ba7-a1b0-3e423a7aef5d,Шоколад,Bio Weihnachtsbaum Confetti weiss,90g,5.00   ,0.2,,"Рождественская шоколадная елка с драже белый шоколад   (сезонный артикль), без лактозы"
663db5ba-cb9c-405d-bc10-f81dcade7a1f,Шоколад,Schokokugel,100g,2.60   ,1.7,,"Шоколадые шарики, молочный шоколад  (сезонный артикль)"
c2ad4571-1621-40c8-91c3-bf4e5c7f6aac,Шоколад,Dammenberg Weihnachtsmann,160g,10.00   ,1.9,,Шоколадный Дед Мороз (сезонный артикль)
07c47f13-f0e1-4029-9b93-47286e3a833a,Шоколад,Osterhase Weiss ,100g,6.50   ,1.4,,"Шоколадный Пасхальный Заяц, белый шоколад (сезонный артикль)"
5cafdad7-fbb2-45c6-bee3-3ec556d5721d,Шоколад,Osterhase Rosa,100g,6.50   ,1.4,,"Шоколадный Пасхальный Заяц, розовый шоколад  (сезонный артикль)"
4e80ff30-75c0-4f6a-9897-44b5a103e1f6,Шоколад,Osterhase Original,100g,6.50   ,2.0,,"Шоколадный Пасхальный Заяц, молочный шоколад  (сезонный артикль)"
15e99ead-2de0-4b6f-b6ee-23935a47e4be,Шоколад,Moo Free Ostereier mit Überrasung,100g,5.35   ,2.2,,"Шоколадное Пасхальное яйцо с сюрпризом, молочный шоколад  (сезонный артикль)"
889674cd-b564-42de-8806-b9fda0a1bab4,Шоколад,Moo Free Ostereier mit Marshmallow,100g,5.35   ,1.8,,"Шоколадное Пасхальное яйцо с маршмело, молочный шоколад  (сезонный артикль)"
21a41f4d-5f21-4c44-bbda-9e1c49c9327a,Mevalia,Bread Mix,500g,6.10   ,,,Смесь для хлеба
697d74d6-3cf9-4d42-89ea-d4d0773116de,Mevalia,Pan Carré,300g,6.10   ,0.8,,Белый хлеб в нарезке
22fea496-a1c3-47c9-8c30-e12160b31f02,Mevalia,Pane Casereccio,220g,5.80   ,,,Серый хлеб в нарезке
77e1376b-d7f2-4e99-a013-f12705b91596,Mevalia,Ciabattine,260g,5.50   ,,,Булочки для завтрака
981595e0-ec41-4171-ab7c-b9cc1b96d0bf,Mevalia,Fette Tostate,120g,4.85   ,,,Хлебцы
03e7c785-8abb-4157-a653-09919ec73c88,Mevalia,Grissini,150g,5.10   ,,,Хлебные палочки
f3402fee-5a90-475e-a4b6-48218ac8ab49,Mevalia,Pizzaboden Mevalia,300g,7.95   ,,,Коржи для пиццы
908ce431-f564-465c-8867-1861bffe9f70,Mevalia,Penne Mevalia,500g,6.10   ,,,Макароны перья
914c93fa-260f-4d3d-b55c-e2780f9acd14,Mevalia,Fusilli Mevalia,500g,6.10   ,,,Макароны спиральки
bdc5138e-34c5-41e7-a15b-191d19dbc8ee,Mevalia,Spaghetti Mevalia,500g,6.10   ,,,Спагетти
6f3034ee-169c-48da-a61d-761c891be6fa,Mevalia,Ditali,500g,6.10   ,,,Макароны трубочки короткие
834a4143-f376-4e5f-8f46-118534ea38b2,Mevalia,Rice Mevalia,400g,5.50   ,,,Рис
9ad93a3e-aa89-491b-84af-4beb12f2c251,Mevalia,Choco Chip,200g,6.10   ,,,Печенье с шоколадной крошкой
f1751113-ad84-4703-a712-dfd2c3f45053,Mevalia,Frollini,200g,6.10   ,,,Печенье
